1:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
3:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
4:中国采招网        4001-6000
12248:软件开发工程师        北京天元特通科技有限公司        10001-15000
12249:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
12250:软件销售        厦门安妮股份有限公司        8001-10000
12251:软件工程师        北京慧清科技有限公司        12000-20000
12252:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12253:软件开发项目经理        北京店帮科技有限公司        10001-15000
12254:软件工程师        北京起鹏科技发展有限公司        10001-15000
12255:软件工程师        北京兆维科技开发有限公司        10000-20000
12256:软件测试工程师        北京万里红科技股份有限公司        5000-10000
12257:软件工程师        北京泰和利通科技有限公司        10000-20000
12258:软件工程师        北京医模科技股份有限公司        10001-15000
12259:软件项目经理        北京双旗世纪科技有限公司        15001-20000
12260:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
12261:软件开发工程师        北京固鸿科技有限公司        10000-20000
12262:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
12263:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
12264:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
12265:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
12266:软件开发工程师        北京万里红科技股份有限公司        6000-12000
12267:软件区域销售        北京华思维信息技术有限公司        5000-10000
12268:软件工程师        北京安怀信科技股份有限公司        10001-15000
12269:软件工程师        沈阳东软医疗系统有限公司        15001-20000
12270:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
12271:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12272:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
12273:软件工程师        北京辉大科技发展有限公司        8000-16000
12274:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
12275:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
12276:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
12277:软件销售经理        北京可维创业科技有限公司        6000-12000
12278:软件测试工程师        北京华夏电通科技有限公司        8000-15000
12279:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
12280:软件客户代表        北京世纪兆元科技有限公司        10001-15000
12281:软件销售        挚友诚达科技(北京)有限公司        6001-8000
12282:软件工程师        北京汇金科技有限责任公司        9000-13000
12283:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
12284:软件工程师        北京远大创新科技有限公司        8000-12000
12285:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
12286:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
12287:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
12288:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
12289:中国采招网        4001-6000
12290:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
12291:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
12292:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
12293:软件工程师        北京华开领航科技有限责任公司        15000-20000
12294:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
12295:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
12296:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
12297:软件工程师        北京华开领航科技有限责任公司        10000-15000
12298:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
12299:软件开发工程师        北京北变微电网技术有限公司        7000-9000
12300:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
12301:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
12302:软件测试工程师        北京万里红科技股份有限公司        6000-12000
12303:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
12304:软件工程师        北京慧清科技有限公司        12000-20000
12305:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
12306:软件工程师        北京优尔博特创新科技有限公司        15001-20000
12307:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
12308:软件开发工程师        北京天元特通科技有限公司        10001-15000
12309:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
12310:软件销售        厦门安妮股份有限公司        8001-10000
12311:软件工程师        北京慧清科技有限公司        12000-20000
12312:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12313:软件开发项目经理        北京店帮科技有限公司        10001-15000
12314:软件工程师        北京起鹏科技发展有限公司        10001-15000
12315:软件工程师        北京兆维科技开发有限公司        10000-20000
12316:软件测试工程师        北京万里红科技股份有限公司        5000-10000
12317:软件工程师        北京泰和利通科技有限公司        10000-20000
12318:软件工程师        北京医模科技股份有限公司        10001-15000
12319:软件项目经理        北京双旗世纪科技有限公司        15001-20000
12320:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
12321:软件开发工程师        北京固鸿科技有限公司        10000-20000
12322:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
12323:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
12324:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
12325:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
12326:软件开发工程师        北京万里红科技股份有限公司        6000-12000
12327:软件区域销售        北京华思维信息技术有限公司        5000-10000
12328:软件工程师        北京安怀信科技股份有限公司        10001-15000
12329:软件工程师        沈阳东软医疗系统有限公司        15001-20000
12330:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
12331:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12332:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
12333:软件工程师        北京辉大科技发展有限公司        8000-16000
12334:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
12335:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
12336:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
12337:软件销售经理        北京可维创业科技有限公司        6000-12000
12338:软件测试工程师        北京华夏电通科技有限公司        8000-15000
12339:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
12340:软件客户代表        北京世纪兆元科技有限公司        10001-15000
12341:软件销售        挚友诚达科技(北京)有限公司        6001-8000
12342:软件工程师        北京汇金科技有限责任公司        9000-13000
12343:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
12344:软件工程师        北京远大创新科技有限公司        8000-12000
12345:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
12346:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
12347:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
12348:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
12349:中国采招网        4001-6000
12350:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
12351:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
12352:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
12353:软件工程师        北京华开领航科技有限责任公司        15000-20000
12354:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
12355:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
12356:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
12357:软件工程师        北京华开领航科技有限责任公司        10000-15000
12358:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
12359:软件开发工程师        北京北变微电网技术有限公司        7000-9000
12360:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
12361:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
12362:软件测试工程师        北京万里红科技股份有限公司        6000-12000
12363:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
12364:软件工程师        北京慧清科技有限公司        12000-20000
12365:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
12366:软件工程师        北京优尔博特创新科技有限公司        15001-20000
12367:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
12368:软件开发工程师        北京天元特通科技有限公司        10001-15000
12369:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
12370:软件销售        厦门安妮股份有限公司        8001-10000
12371:软件工程师        北京慧清科技有限公司        12000-20000
12372:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12373:软件开发项目经理        北京店帮科技有限公司        10001-15000
12374:软件工程师        北京起鹏科技发展有限公司        10001-15000
12375:软件工程师        北京兆维科技开发有限公司        10000-20000
12376:软件测试工程师        北京万里红科技股份有限公司        5000-10000
12377:软件工程师        北京泰和利通科技有限公司        10000-20000
12378:软件工程师        北京医模科技股份有限公司        10001-15000
12379:软件项目经理        北京双旗世纪科技有限公司        15001-20000
12380:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
12381:软件开发工程师        北京固鸿科技有限公司        10000-20000
12382:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
12383:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
12384:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
12385:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
12386:软件开发工程师        北京万里红科技股份有限公司        6000-12000
12387:软件区域销售        北京华思维信息技术有限公司        5000-10000
12388:软件工程师        北京安怀信科技股份有限公司        10001-15000
12389:软件工程师        沈阳东软医疗系统有限公司        15001-20000
12390:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
12391:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
12392:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
12393:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
12394:中国采招网        4001-6000
12395:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
12396:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
12397:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
12398:软件工程师        北京华开领航科技有限责任公司        15000-20000
12399:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
12400:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
12401:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
12402:软件工程师        北京华开领航科技有限责任公司        10000-15000
12403:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
12404:软件开发工程师        北京北变微电网技术有限公司        7000-9000
12405:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
12406:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
12407:软件测试工程师        北京万里红科技股份有限公司        6000-12000
12408:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
12409:软件工程师        北京慧清科技有限公司        12000-20000
12410:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
12411:软件工程师        北京优尔博特创新科技有限公司        15001-20000
12412:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
12413:软件开发工程师        北京天元特通科技有限公司        10001-15000
12414:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
12415:软件销售        厦门安妮股份有限公司        8001-10000
12416:软件工程师        北京慧清科技有限公司        12000-20000
12417:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12418:软件开发项目经理        北京店帮科技有限公司        10001-15000
12419:软件工程师        北京起鹏科技发展有限公司        10001-15000
12420:软件工程师        北京兆维科技开发有限公司        10000-20000
12421:软件测试工程师        北京万里红科技股份有限公司        5000-10000
12422:软件工程师        北京泰和利通科技有限公司        10000-20000
12423:软件工程师        北京医模科技股份有限公司        10001-15000
12424:软件项目经理        北京双旗世纪科技有限公司        15001-20000
12425:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
12426:软件开发工程师        北京固鸿科技有限公司        10000-20000
12427:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
12428:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
12429:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
12430:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
12431:软件开发工程师        北京万里红科技股份有限公司        6000-12000
12432:软件区域销售        北京华思维信息技术有限公司        5000-10000
12433:软件工程师        北京安怀信科技股份有限公司        10001-15000
12434:软件工程师        沈阳东软医疗系统有限公司        15001-20000
12435:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
12436:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12437:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
12438:软件工程师        北京辉大科技发展有限公司        8000-16000
12439:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
12440:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
12441:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
12442:软件销售经理        北京可维创业科技有限公司        6000-12000
12443:软件测试工程师        北京华夏电通科技有限公司        8000-15000
12444:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
12445:软件客户代表        北京世纪兆元科技有限公司        10001-15000
12446:软件销售        挚友诚达科技(北京)有限公司        6001-8000
12447:软件工程师        北京汇金科技有限责任公司        9000-13000
12448:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
12449:软件工程师        北京远大创新科技有限公司        8000-12000
12450:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
12451:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
12452:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
12453:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
12454:中国采招网        4001-6000
12455:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
12456:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
12457:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
12458:软件工程师        北京华开领航科技有限责任公司        15000-20000
12459:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
12460:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
12461:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
12462:软件工程师        北京华开领航科技有限责任公司        10000-15000
12463:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
12464:软件开发工程师        北京北变微电网技术有限公司        7000-9000
12465:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
12466:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
12467:软件测试工程师        北京万里红科技股份有限公司        6000-12000
12468:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
12469:软件工程师        北京慧清科技有限公司        12000-20000
12470:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
12471:软件工程师        北京优尔博特创新科技有限公司        15001-20000
12472:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
12473:软件开发工程师        北京天元特通科技有限公司        10001-15000
12474:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
12475:软件销售        厦门安妮股份有限公司        8001-10000
12476:软件工程师        北京慧清科技有限公司        12000-20000
12477:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12478:软件开发项目经理        北京店帮科技有限公司        10001-15000
12479:软件工程师        北京起鹏科技发展有限公司        10001-15000
12480:软件工程师        北京兆维科技开发有限公司        10000-20000
12481:软件测试工程师        北京万里红科技股份有限公司        5000-10000
12482:软件工程师        北京泰和利通科技有限公司        10000-20000
12483:软件工程师        北京医模科技股份有限公司        10001-15000
12484:软件项目经理        北京双旗世纪科技有限公司        15001-20000
12485:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
12486:软件开发工程师        北京固鸿科技有限公司        10000-20000
12487:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
12488:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
12489:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
12490:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
12491:软件开发工程师        北京万里红科技股份有限公司        6000-12000
12492:软件区域销售        北京华思维信息技术有限公司        5000-10000
12493:软件工程师        北京安怀信科技股份有限公司        10001-15000
12494:软件工程师        沈阳东软医疗系统有限公司        15001-20000
12495:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
12496:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12497:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
12498:软件工程师        北京辉大科技发展有限公司        8000-16000
12499:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
12500:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
12501:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
12502:软件销售经理        北京可维创业科技有限公司        6000-12000
12503:软件测试工程师        北京华夏电通科技有限公司        8000-15000
12504:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
12505:软件客户代表        北京世纪兆元科技有限公司        10001-15000
12506:软件销售        挚友诚达科技(北京)有限公司        6001-8000
12507:软件工程师        北京汇金科技有限责任公司        9000-13000
12508:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
12509:软件工程师        北京远大创新科技有限公司        8000-12000
12510:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
12511:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
12512:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
12513:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
12514:中国采招网        4001-6000
12515:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
12516:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
12517:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
12518:软件工程师        北京华开领航科技有限责任公司        15000-20000
12519:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
12520:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
12521:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
12522:软件工程师        北京华开领航科技有限责任公司        10000-15000
12523:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
12524:软件开发工程师        北京北变微电网技术有限公司        7000-9000
12525:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
12526:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
12527:软件测试工程师        北京万里红科技股份有限公司        6000-12000
12528:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
12529:软件工程师        北京慧清科技有限公司        12000-20000
12530:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
12531:软件工程师        北京优尔博特创新科技有限公司        15001-20000
12532:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
12533:软件开发工程师        北京天元特通科技有限公司        10001-15000
12534:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
12535:软件销售        厦门安妮股份有限公司        8001-10000
12536:软件工程师        北京慧清科技有限公司        12000-20000
12537:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12538:软件开发项目经理        北京店帮科技有限公司        10001-15000
12539:软件工程师        北京起鹏科技发展有限公司        10001-15000
12540:软件工程师        北京兆维科技开发有限公司        10000-20000
12541:软件测试工程师        北京万里红科技股份有限公司        5000-10000
12542:软件工程师        北京泰和利通科技有限公司        10000-20000
12543:软件工程师        北京医模科技股份有限公司        10001-15000
12544:软件项目经理        北京双旗世纪科技有限公司        15001-20000
12545:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
12546:软件开发工程师        北京固鸿科技有限公司        10000-20000
12547:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
12548:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
12549:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
12550:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
12551:软件开发工程师        北京万里红科技股份有限公司        6000-12000
12552:软件区域销售        北京华思维信息技术有限公司        5000-10000
12553:软件工程师        北京安怀信科技股份有限公司        10001-15000
12554:软件工程师        沈阳东软医疗系统有限公司        15001-20000
12555:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
12556:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
12557:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
12558:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
12559:中国采招网        4001-6000
12560:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
12561:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
12562:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
12563:软件工程师        北京华开领航科技有限责任公司        15000-20000
12564:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
12565:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
12566:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
12567:软件工程师        北京华开领航科技有限责任公司        10000-15000
12568:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
12569:软件开发工程师        北京北变微电网技术有限公司        7000-9000
12570:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
12571:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
12572:软件测试工程师        北京万里红科技股份有限公司        6000-12000
12573:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
12574:软件工程师        北京慧清科技有限公司        12000-20000
12575:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
12576:软件工程师        北京优尔博特创新科技有限公司        15001-20000
12577:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
12578:软件开发工程师        北京天元特通科技有限公司        10001-15000
12579:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
12580:软件销售        厦门安妮股份有限公司        8001-10000
12581:软件工程师        北京慧清科技有限公司        12000-20000
12582:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12583:软件开发项目经理        北京店帮科技有限公司        10001-15000
12584:软件工程师        北京起鹏科技发展有限公司        10001-15000
12585:软件工程师        北京兆维科技开发有限公司        10000-20000
12586:软件测试工程师        北京万里红科技股份有限公司        5000-10000
12587:软件工程师        北京泰和利通科技有限公司        10000-20000
12588:软件工程师        北京医模科技股份有限公司        10001-15000
12589:软件项目经理        北京双旗世纪科技有限公司        15001-20000
12590:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
12591:软件开发工程师        北京固鸿科技有限公司        10000-20000
12592:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
12593:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
12594:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
12595:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
12596:软件开发工程师        北京万里红科技股份有限公司        6000-12000
12597:软件区域销售        北京华思维信息技术有限公司        5000-10000
12598:软件工程师        北京安怀信科技股份有限公司        10001-15000
12599:软件工程师        沈阳东软医疗系统有限公司        15001-20000
12600:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
12601:软件工程师        北京华仪未来科技发展有限公司        10001-15000
12602:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
12603:软件工程师        北京辉大科技发展有限公司        8000-16000
